Name,Predictive Play
Start Date,7/6/25
End Date,8/4/25

Date,App Referrer Total Downloads,App Store Browse Total Downloads,App Store Search Total Downloads,Event Notification Total Downloads,Institutional Purchase Total Downloads,Unavailable Total Downloads,Web Referrer Total Downloads
7/6/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/7/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/8/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/9/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/10/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/11/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/12/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/13/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/14/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/16/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/17/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/18/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/19/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/20/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/21/25,52.0,3.0,12.0,0.0,0.0,2.0,1.0
7/22/25,31.0,0.0,13.0,0.0,0.0,1.0,0.0
7/23/25,6.0,1.0,9.0,0.0,0.0,0.0,0.0
7/24/25,5.0,0.0,13.0,0.0,0.0,1.0,0.0
7/25/25,64.0,0.0,12.0,0.0,0.0,0.0,1.0
7/26/25,11.0,0.0,94.0,0.0,0.0,1.0,1.0
7/27/25,3.0,2.0,29.0,0.0,0.0,0.0,0.0
7/28/25,2.0,0.0,22.0,0.0,0.0,0.0,0.0
7/29/25,0.0,1.0,14.0,0.0,0.0,1.0,0.0
7/30/25,1.0,0.0,14.0,0.0,0.0,0.0,0.0
7/31/25,2.0,0.0,22.0,0.0,0.0,0.0,0.0
8/1/25,1.0,0.0,27.0,0.0,0.0,0.0,1.0
8/2/25,0.0,0.0,16.0,0.0,0.0,1.0,0.0
8/3/25,0.0,0.0,12.0,0.0,0.0,0.0,0.0
8/4/25,16.0,0.0,20.0,0.0,0.0,0.0,2.0
