"Product","Total","Total","Monthly Pro","Monthly Pro","Yearly Pro","Yearly Pro","Weekly Pro","Weekly Pro"
"Report Date","Revenue","Transactions","Revenue","Transactions","Revenue","Transactions","Revenue","Transactions"
"2025-07-25","9.99","1","0","0","0","0","9.99","1"
"2025-07-26","99.94","6","49.98","2","0","0","49.96","4"
"2025-07-27","49.98","2","49.98","2","0","0","0","0"
"2025-07-28","24.99","1","24.99","1","0","0","0","0"
"2025-07-29","0","0","0","0","0","0","0","0"
"2025-07-30","0","0","0","0","0","0","0","0"
"2025-07-31","49.97","3","39.98","2","0","0","9.99","1"
"2025-08-01","19.98","2","0","0","0","0","19.98","2"
"2025-08-02","154.98","2","0","0","144.99","1","9.99","1"
"2025-08-03","0","0","0","0","0","0","0","0"
"2025-08-04","0","0","0","0","0","0","0","0"
"2025-08-05","0","0","0","0","0","0","0","0"
